name,category,rate,price,time,price_numeric,price_text
Paris: Cruise on the Saint-Martin Canal and the Seine River,Water activity,4.2,"34,606 per person",2.5 hours,34606,per person
Paris: Paris Zoological Park Entrance Ticket,Entry ticket,4.7,"30,093 per person",700 days,30093,per person
Paris: 2-Hour River Seine Lunch Cruise,Water activity,4.7,"103,819 per person",2 hours,103819,per person
Paris: Paradis Latin Cabaret Show with/without Champagne,Entry ticket,4.6,"120,370 per person",1.5 hours,120370,per person
Paris: Highlights 3-Hour Bike Tour,Guided tour,4.5,"55,671 per person",3 hours,55671,per person
From Paris: Day Trip to Bruges with Seasonal Canal Cruise,Day trip,4.2,"180,555 per person",1 day,180555,per person
Paris: Musée d'Orsay Guided Tour with Options,Guided tour,4.8,"94,641 per person",1.5 - 2.5 hours,94641,per person
Paris: City Treasures Bike Tour,Bundle,4.9,"61,690 per person",3 hours,61690,per person
Paris: 3-Course Lunch Cruise on the River Seine,Water activity,4.3,"87,268 per person",1.5 hours,87268,per person
Paris: Eiffel Tower Tour with Summit or 2nd Floor Access,Other experience,4.1,"97,801 per person",75 minutes,97801,per person
Paris: Charles de Gaulle Airport Private Transfer,Transfer,4.2,"139,720 per group up to 3",1 hour,139720,per group up to 3
Paris: Private City Highlights Tuk-Tuk Tour with Pickup,Private tour,4.8,"496,528 per group up to 4",3 - 8 hours,496528,per group up to 4
Paris: Le Marais Guided Walking Tour,Guided tour,4.1,"63,194 per person",2 - 2.5 hours,63194,per person
From Paris: Normandy D-Day Landing Beaches Full-Day Tour,Day trip,4.9,"368,634 per person",12 hours,368634,per person
From Paris: Giverny Audio-Guided Tour,Day trip,4.1,"127,893 per person",10 hours,127893,per person
From Paris: Full-Day Loire Valley Chateaux Tour,Day trip,4.2,"203,125 per person",12 - 12.5 hours,203125,per person
Paris Highlights 2.5-Hour Segway Tour,Guided tour,4.9,"82,755 per person",2.5 hours,82755,per person
Paris: La Nouvelle Eve Cabaret Show with Champagne,Entry ticket,4.6,"148,958 per person",1.5 hours,148958,per person
Paris: Eiffel Tower's Madame Brasserie Refined Dinner,Other experience,4.4,"186,724 per person",1.5 hours,186724,per person
Paris: 1-Hour Sightseeing Cruise with Bistro Dinner,Water activity,4.4,"81,476 per person",2 hours,81476,per person
"Paris Museum Pass: 2, 4, or 6 Days",City card,4.2,"105,324 per person",2 - 6 days,105324,per person
Paris: Romantic Cruise with 3-course Dinner on Seine River,Water activity,4.2,"111,343 per person",106 minutes,111343,per person
Paris: Conciergerie Skip-the-Line Ticket with Histopad,Entry ticket,4.2,"17,303 per person",1 day,17303,per person
Musée du Quai Branly - Jacques Chirac: Admission Ticket,Entry ticket,4.6,"18,056 per person",1 day,18056,per person
From Paris: Reims and Champagne Tasting Full-Day Tour,Day trip,4.7,"525,115 per person",10 hours,525115,per person
"Paris: Montmartre Cheese, Wine & Pastry Guided Walking Tour",Guided tour,4.8,"157,986 per person",3 hours,157986,per person
Versailles: Palace of Versailles Skip-the-Line Guided Tour,Guided tour,4.8,"88,773 per person",1.5 hours,88773,per person
Paris: Private Pontoon Boat Seine River Cruise with Guide,Water activity,4.9,"631,944 per group up to 6",2 hours,631944,per group up to 6
Paris: Dinner Show at the Moulin Rouge,Entry ticket,4.7,"347,569 per person",4 hours,347569,per person
Paris: Evening Sightseeing Tour and Moulin Rouge Show,Bundle,3.9,"255,787 per person",5 hours,255787,per person
Skip-the-Line Versailles Palace Tour by Train from Paris,Guided tour,4.7,"135,266 per person",4.5 hours,135266,per person
Paris: Musée Jacquemart-André Skip-the-Line Entry Ticket,Entry ticket,4.6,"25,579 per person",1 day,25579,per person
Paris: Marais District Jewish History Guided Walking Tour,Guided tour,5.0,"79,745 per person",3 hours,79745,per person
Paris: Guided Tour of the Must-Sees of the Louvre Museum,Guided tour,4.7,"103,669 per person",1.5 hours,103669,per person
Versailles Bike Tour with Palace & Queen Farm Entrance,Day trip,4.8,"164,005 per person",8 hours,164005,per person
Paris: Charles de Gaulle Airport to Paris Private Transfer,Transfer,3.5,"118,866 per group up to 3",30 minutes,118866,per group up to 3
From Paris: Full-Day Mont Saint-Michel Guided Tour,Day trip,4.3,"239,236 per person",14 hours,239236,per person
Paris: Charming Nooks and Crannies Bike Tour,Guided tour,4.8,"61,690 per person",3 hours,61690,per person
Paris: Eiffel Tower's Madame Brasserie Dinner at 6:30 PM,Entry ticket with host,4.5,"149,109 per person",2 hours,149109,per person
Paris: Haunted Père Lachaise Cemetery Guided Tour,Guided tour,4.4,"30,093 per person",2 hours,30093,per person
Paris: Eiffel Tower's Madame Brasserie Lunch,Other experience,4.3,"85,914 per person",1.5 hours,85914,per person
From Paris: Day Trip to Giverny & Versailles,Day trip,4.3,"284,375 per person",9 hours,284375,per person
